name,nomer,address,kota,keyword,is_wa,sudah,
Sate Ayam & Kambing,,"Jl. Kalpataru No.141, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,warung kambing,,
Sate Kambing dan Thengkleng Rica Pak Manto Cabang Malang,081229220448,"Jl. Letjen Sutoyo No.99, Purwantoro, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,warung kambing,ada,
SATE PAINO,0341322934,"No.315, Jalan Hamid Rusdi Timur No.IV, Bunulrejo, Blimbing, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65123",kota malang,warung kambing,,
Sate Ayam & Sate Kambing Soto Ayam Mas Rohim,087888874476,"Jl. Nusakambangan No.39, Kasin, Kec. Klojen, Kota Malang, Jawa Timur 65117",kota malang,warung kambing,tidak,
Warung Sate Kambing Rachmad,,"Jl. Besar Ijen No.70-60, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119",kota malang,warung kambing,,
Warung Sate dan Gule Kambing AL-MARGANI (Sate Klaseman),,"Jl. Raya Candi II No.6-14, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65146",kota malang,warung kambing,,
Warung Sate-Kambing Abah Acil,,"3J44+C3C, Jalan Tlogomas, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",kota malang,warung kambing,,
Sate Dan Gule Kambing Bang Fais,,"2JCP+FVC, Jl. Trunojoyo, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65111",kota malang,warung kambing,,
Sate & Gule Kambing,,"Jl. Hamid Rusdi No.10, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65126",kota malang,warung kambing,,
Sate Ayam dan Kambing Cak Sa'i,,"3J26+MRJ, Jl. Watugong, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145",kota malang,warung kambing,,
Sate Ayam & Kambing,,"Jl. Kalpataru No.141, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,warung kambing,,
Nasi kebuli pawon,087838203448,"nomer 1596 pos polisi, Gg. VI, Kasin, Kec. Klojen, Kota Malang, Jawa Timur 65117",kota malang,nasi kebuli,ada,
Nasi Goreng Kebuli ( PIRANHA 114 ),081332670276,"Jl. Terusan Piranha Atas No.114, Tunjungsekar, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",kota malang,nasi kebuli,ada,
Nasi kebuli palem kurma,,"Jl. Bandung No.18 A, RW.02, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65113",kota malang,nasi kebuli,,
Nasi Kebuli Sultan Sukun,081216024112,"Gg. Perikanan No.10, Kebonsari, Kec. Sukun, Kota Malang, Jawa Timur 65149",kota malang,nasi kebuli,ada,
Nasi kebuli,,"2JXF+V7Q, Jl. Dewandaru Dalam, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,nasi kebuli,,
Kebuli Ngebul,082223552665,"Jalan Dewandaru No.11A, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,nasi kebuli,ada,
Nasi Kebuli,,"2JRJ+RM8, Jl. Bungur, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,nasi kebuli,,
Rumah Makan Cairo,0341366433,"Jl. Kapten Piere Tendean No.1, Kasin, Kec. Klojen, Kota Malang, Jawa Timur 65117",kota malang,nasi kebuli,,
Nasi Kebuli Ummu Husain,,"3J7V+CVW, Jl. A. Yani, Blimbing, Kec. Blimbing, Kota Malang, Jawa Timur",kota malang,nasi kebuli,,
nasi kebuli rj,,"XJX7+6RC, Jl. Klayatan II, Bandungrejosari, Kec. Sukun, Kota Malang, Jawa Timur 65148",kota malang,nasi kebuli,,
Nasi Kebuli Sultan,,"Jl. Bandulan No.49, Bandulan, Kec. Sukun, Kota Malang, Jawa Timur 65146",kota malang,nasi kebuli,,
Nasi kebuli umma,081946221271,"Jl. Bunga Vinolia Gg. III Jl. Bunga Vinolia No.24 A, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,nasi kebuli,tidak,
Kebuli ngebul Sawojajar,,"Jl. Danau Toba No.Raya, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur",kota malang,nasi kebuli,,
KEBULI ABUYA MALANG SUMBERSARI,082131468978,"Jl. Raya Sumbersari No.2b, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145",kota malang,nasi kebuli,ada,
Kebuli Tarim,081230034568,"Jl. Borobudur No.66, Mojolangu, Kec. Blimbing, Kota Malang, Jawa Timur 65142",kota malang,nasi kebuli,ada,
Nasi Goreng Kebuli Baytoti,087780417441,"Jl. Taman Sulfat, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur",kota malang,nasi kebuli,ada,
Nasi Kebuli Arafah,,"Pandanwangi, Kec. Blimbing, Kota Malang, Jawa Timur",kota malang,nasi kebuli,,
Nasi kebuli lezat,087861747806,"Jl. Sidomakmur No.46, Sengkaling, Mulyoagung, Kec. Dau, Kabupaten Malang, Jawa Timur 65151",kota malang,nasi kebuli,ada,
madinah foot mata'am malang,082233361504,"2MG5+43P, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65126",kota malang,nasi kebuli,ada,
"Afdhol Nasi Arab, Malang",085785322733,"Jl. Maninjau Raya No.112 A, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur 65136",kota malang,nasi kebuli,ada,
Abbasy Bakery,082245659761,"Jl. Bukit Cemara Tidar, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65149",kota malang,nasi kebuli,ada,
JAZIRAH FOOD ARAB TASTE (TAKE AWAY & DELIVERY ORDER),081252653342,"Jl. Terusan Bend. Wonogiri No.24, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145",kota malang,nasi kebuli,ada,
Nasi Kebuli MumZ,082230925159,"Jl. Kertanegara No.67, Candirenggo, Kec. Singosari, Kabupaten Malang, Jawa Timur 65153",kota malang,nasi kebuli,ada,
Abah Salman Arabian Food,,"Jl. Perumahan Villa Bukit Tidar No.46 a4 no, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",kota malang,nasi kebuli,,
Nasi Kebuli Corner,082338259128,"4M3R+3RQ, Jl. Wijaya, Gondorejo Ledok, Tamanharjo, Kec. Singosari, Kabupaten Malang, Jawa Timur 65153",kota malang,nasi kebuli,ada,
Warung Makan Bu Ji,,"Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",kota malang,nasi kebuli,,
Kebuli Abuya Malang,081213461908,"Jl. Cengkeh No.35a, Tulusrejo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,nasi kebuli,ada,
Balqis Cathering' Masakan Arab Dan Nusantara,,"Sukoharjo, Kec. Klojen, Kota Malang, Jawa Timur 65118",kota malang,nasi kebuli,,
Nasi Biryani Kak Ila,085649762900,"Jl. Zaenal Zakse Jl. Muharto 4 No.22, Jodipan, Kec. Blimbing, Kota Malang, Jawa Timur 65126",kota malang,nasi kebuli,ada,
Warung Mas Ben's,081334574848,"Jl. MT. Haryono No.2A, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145",kota malang,nasi kebuli,tidak,
Arabic Food,,"Jl. Mertojoyo Blk. G No.1, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",kota malang,nasi kebuli,,
Al-Izzah Resto,085335656316,"Jl. Ade Irma Suryani No.3, Sukoharjo, Kec. Klojen, Kota Malang, Jawa Timur 65117",kota malang,nasi kebuli,ada,
